name,position,now_cost,predicted_rating
Folarin Balogun,FWD,44,0
Gabriel Fernando de Jesus,FWD,80,16
Eddie Nketiah,FWD,54,18
Keinan Davis,FWD,49,0
Jhon Durán,FWD,50,5
Ollie Watkins,FWD,88,40
Wesley Moraes Ferreira da Silva,FWD,50,0
Kieffer Moore,FWD,47,3
Antoine Semenyo,FWD,46,14
Dominic Solanke,FWD,69,35
Halil Dervişoğlu,FWD,45,0
Ivan Toney,FWD,79,0
Yoane Wissa,FWD,58,18
Neal Maupay,FWD,49,13
Aaron Connolly,FWD,45,0
Evan Ferguson,FWD,60,19
João Pedro Junqueira de Jesus,FWD,54,19
Deniz Undav,FWD,55,0
Danny Welbeck,FWD,57,8
Andi Zeqiri,FWD,44,0
Mark O’Mahony,FWD,45,0
Lyle Foster,FWD,48,13
Michael Obafemi,FWD,49,0
Jay Rodriguez,FWD,53,11
Wout Weghorst,FWD,55,0
Zeki Amdouni,FWD,53,15
Pierre-Emerick Aubameyang,FWD,65,0
Armando Broja,FWD,49,3
David Datro Fofana,FWD,50,0
Romelu Lukaku Bolingoli,FWD,68,0
Nicolas Jackson,FWD,69,21
Christopher Nkunku,FWD,73,3
Mason Burstow,FWD,45,0
Deivid Washington de Souza Eugênio,FWD,45,0
Ronnie Stutter,FWD,45,0
Odsonne Edouard,FWD,54,20
Jean-Philippe Mateta,FWD,49,15
Luke Plange,FWD,45,0
John-Kymani Gordon,FWD,45,0
Ademola Ola-Adebomi,FWD,45,0
Dominic Calvert-Lewin,FWD,58,13
Ellis Simms,FWD,45,0
Youssef Ramalho Chermiti,FWD,48,2
Thomas Cannon,FWD,45,0
Norberto Bercique Gomes Betuncal,FWD,57,6
Aleksandar Mitrović,FWD,74,0
Rodrigo Muniz Carvalho,FWD,44,1
Carlos Vinícius Alves Morais,FWD,47,7
Raúl Jiménez,FWD,52,15
Jay Stansfield,FWD,45,0
Darwin Núñez Ribeiro,FWD,75,21
Cody Gakpo,FWD,72,11
Elijah Adebayo,FWD,48,14
John McAtee,FWD,45,0
Carlton Morris,FWD,51,16
Admiral Muskwe,FWD,45,0
Chiedozie Ogbene,FWD,49,13
Aribim Pepple,FWD,45,0
Joe Taylor,FWD,45,0
Cauley Woodrow,FWD,44,2
Jacob Brown,FWD,49,12
Julián Álvarez,FWD,68,30
Erling Haaland,FWD,139,45
Anthony Martial,FWD,64,7
